script	ref	ground
CHỈ BẰNG CÁCH LUÔN NỖ LỰC THÌ CUỐI CÙNG BẠN MỚI ĐƯỢC ĐỀN ĐÁP	VIVOSSPK01_R003	VIVOSSPK01_R002
TRONG SỐ CÁC QUỐC GIA CÔNG NGHIỆP PHÁT TRIỂN	VIVOSSPK01_R073	VIVOSSPK01_R003
ANH ĐÃ NHÌN THẤY TRONG NHỮNG LẢI NHẢI DÔNG DÀI CỦA NHU	VIVOSSPK01_R045	VIVOSSPK01_R004
KHỦNG HOẢNG MÔI TRƯỜNG CẦN ĐƯỢC NGĂN CHẶN	VIVOSSPK01_R052	VIVOSSPK01_R005
TRÔNG THẤY TÀU CÁ ĐẰNG XA ANH ĐÃ ẤN CÒI CẢNH BÁO	VIVOSSPK01_R039	VIVOSSPK01_R006
MẤY SÀO RUỘNG CỦA GIA ĐÌNH ÔNG ĐÀNH BỎ HOANG CHO CỎ MỌC	VIVOSSPK01_T022	VIVOSSPK01_R007
CÓ ĐÊM GẶP PHẢI HEO NỌC NÓ RƯỢT	VIVOSSPK01_R180	VIVOSSPK01_R008
CÁC BÀN HỌC NHỎ HẰNG NGÀY NAY TRỞ THÀNH BÀN THỜ CỦA CÁC CHÁU	VIVOSSPK01_R158	VIVOSSPK01_R009
CHA MẸ TÔI THƯỜNG CHÌ CHIẾT NHAU BẰNG NHỮNG LỜI LẼ KHÓ NGHE	VIVOSSPK01_R015	VIVOSSPK01_R010
HẤP DẪN NHẤT LÀ CUỘC THI BƠI THUYỀN TRUYỀN THỐNG	VIVOSSPK01_R156	VIVOSSPK01_R011
VỚI NHỮNG CỜ LÍP NHẠC TRUYỀN HÌNH	VIVOSSPK01_R032	VIVOSSPK01_R012
MỘT TRONG NHỮNG CÁCH TỐT NHẤT	VIVOSSPK01_T038	VIVOSSPK01_R013
TỚI VỖ VAI HỎI VỀ CHIẾC ÁO MỚI MUA	VIVOSSPK01_R022	VIVOSSPK01_R015
BÀO CHẾ NHỮNG LOẠI THUỐC CHỮA NGHIỆN MA TÚY	VIVOSSPK01_T049	VIVOSSPK01_R016
NHỮNG MÁI NGÓI ÂM DƯƠNG CỔ KÍNH	VIVOSSPK01_R198	VIVOSSPK01_R017
MẶT MŨI NÓ CÒN CÀU CẠU	VIVOSSPK01_R075	VIVOSSPK01_R018
NẮNG ĐÀO LÀM ỬNG HỒNG NHỮNG ĐÔI MÁ THIẾU NỮ HÀ THÀNH	VIVOSSPK01_T027	VIVOSSPK01_R019
CHIẾC Ổ THƯỜNG XUYÊN ĐƯỢC KHÓA CHẶT VÀO BÀN	VIVOSSPK01_R085	VIVOSSPK01_R020
LÀM TÓC KIỂU NÀY TRÔNG BẠN QUÝ PHÁI MỘT CÁCH TỰ NHIÊN	VIVOSSPK01_T040	VIVOSSPK01_R021
ĐỒNG NGHIỆP TÂY BẢO NHẠC CỦA TÔI CHỈ THOÁNG NGHE	VIVOSSPK01_T035	VIVOSSPK01_R022
ĐÂU LÀ TÌNH YÊU ĐÍCH THỰC	VIVOSSPK01_T050	VIVOSSPK01_R023
CŨNG SẼ GẶP KHÓ KHĂN VÌ KHÔNG CÓ HÌNH ẢNH ĐỂ ĐỐI CHIẾU	VIVOSSPK01_R095	VIVOSSPK01_R024
TAY CẦM MỘT CỌC TIỀN ĐẾM XOÈN XOẸT ĐƯA CHO CHA MẸ CÔ DÂU	VIVOSSPK01_R136	VIVOSSPK01_R025
TRONG NIỀM PHẤN KHỞI CỦA BÀ CON NGƯ DÂN	VIVOSSPK01_R124	VIVOSSPK01_R026
BẮT ĐẦU LỌC CỌC TIẾNG DÙI ĐỤC CỦA THỢ MỘC	VIVOSSPK01_R164	VIVOSSPK01_R027
VIỆC THIẾT LẬP TỐC ĐỘ NHÁY CHUỘT	VIVOSSPK01_R067	VIVOSSPK01_R028
KẾT LUẬN TRÊN ĐÃ CHO THẤY	VIVOSSPK01_R003	VIVOSSPK01_R029
LẶN NGỤP VEN HỒ TÂY ĐỂ KIẾM SỐNG	VIVOSSPK01_R114	VIVOSSPK01_R030
CHÚNG TÔI CỨ LEN LÉN NHÌN VÀ CHẲNG THẤY NGƯỢNG NGẬP	VIVOSSPK01_R195	VIVOSSPK01_R031
CỦA NGƯỜI MẸ ĐANG PHẢI CẦM HƠI BẰNG LÁ CÂY	VIVOSSPK01_R103	VIVOSSPK01_R032
HUN ĐÚC NÊN TINH THẦN THI ĐẤU QUẢ CẢM VỚI ĐỒNG THÁP	VIVOSSPK01_R142	VIVOSSPK01_R033
KHÔNG DÈ LẦN LÊN COI THỬ	VIVOSSPK01_R095	VIVOSSPK01_R034
NÊN VIỆC PHÁ RỪNG ĐỐT THAN NGÀY CÀNG TRỞ NÊN BỨC XÚC	VIVOSSPK01_R139	VIVOSSPK01_R035
Ở ĐỜI PHÀM CÁI GÌ ĐÚNG THỜI CƠ MỚI ĐẠT HIỆU QUẢ	VIVOSSPK01_T035	VIVOSSPK01_R036
DẤU HIỆU DUY NHẤT ĐỂ NHẬN RA KHO LÚA VĨNH THÀNH	VIVOSSPK01_T033	VIVOSSPK01_R038
NHƯNG RỒI CŨNG KHỔ SỞ ĐẾN DƯỜNG NÀO	VIVOSSPK01_R198	VIVOSSPK01_R039
GIÁ CẢ THUỘC DẠNG VÔ CÙNG LÊN BỔNG XUỐNG TRẦM TẸP NHẸP	VIVOSSPK01_R113	VIVOSSPK01_R040
NỮ THẦN TỰ DO VỚI BÀN TAY CẦM ĐUỐC	VIVOSSPK01_T048	VIVOSSPK01_R041
NHỮNG CON SÂU TRÚNG THUỐC RƠI XUỐNG GIÃY GIỤA	VIVOSSPK01_R105	VIVOSSPK01_R042
VỪA ĐI VỪA CA NGHÊU NGAO	VIVOSSPK01_R152	VIVOSSPK01_R043
NHỮNG SỢI BÚN ĐƯỢC CUỘN THÀNH DÂY CHÃO 	VIVOSSPK01_R195	VIVOSSPK01_R045
KHOANH TRÒN TRÊN TẤM LÁ CHUỐI	VIVOSSPK01_R162	VIVOSSPK01_R046
RƠI VÀO CẢNH ĐÌU HIU BỞI DU KHÁCH THƯA THỚT	VIVOSSPK01_R107	VIVOSSPK01_R047
SAU ĐÓ NHỮNG NGƯỜI NÀY ĐƯỢC TRẮC NGHIỆM KHẢ NĂNG GHI NHỚ	VIVOSSPK01_R002	VIVOSSPK01_R048
MUỐN SÀNH ĐIỆU NGUYÊN CON	VIVOSSPK01_R171	VIVOSSPK01_R049
VỚI NHỮNG TRÀNG PHÁO TAY VÀ TIẾNG TRẦM TRỒ TÁN THƯỞNG KHÔNG NGỚT	VIVOSSPK01_R088	VIVOSSPK01_R050
HI VỌNG Ở LẦN SINH NHẬT SAU	VIVOSSPK01_T038	VIVOSSPK01_R051
THEO LUẬT NHÂN QUẢ MÀ GẦN ĐÂY KHOA HỌC ĐÃ CHỨNG MINH ĐƯỢC	VIVOSSPK01_R066	VIVOSSPK01_R052
ÔNG LƯỚT NHẸ NGÓN TAY GẦY GUỘC TRÊN NHỮNG CON CHỮ	VIVOSSPK01_R093	VIVOSSPK01_R053
PHẢI DỪNG MÁY TÀU VÀ LẶN XUỐNG BIỂN DÙNG DAO MÀ CẮT	VIVOSSPK01_T015	VIVOSSPK01_R054
VÀ MỘT NHÓM NGƯỜI ĐANG HÍ HÚI QUAY PHIM	VIVOSSPK01_R177	VIVOSSPK01_R055
HAI BÀN CHÂN TÍ XÍU KIA MỚI ĐƯA ĐƯỢC CÁC EM VỀ TỚI NHÀ	VIVOSSPK01_R136	VIVOSSPK01_R056
TÔI XIN PHÉP RA NGOÀI VỊ GIÁM THỊ TRẺ XẴNG GIỌNG	VIVOSSPK01_R048	VIVOSSPK01_R058
NHƯNG THỰC RA CÓ THỂ KHÔNG PHẢI LÀ NHƯ VẬY	VIVOSSPK01_T015	VIVOSSPK01_R059
DÁC DÁO DÁC TÌM GIÚP VIỆC SAU TẾT	VIVOSSPK01_T045	VIVOSSPK01_R060
NÊN ĐẶT BÚT KÝ HỢP ĐỒNG CHO THUÊ VỚI GIÁ BÈO	VIVOSSPK01_T024	VIVOSSPK01_R061
TÔI KHÔNG SỢ CON ĐƯỜNG DẰNG DẶC TỪ THỊ THÀNH	VIVOSSPK01_R096	VIVOSSPK01_R062
MỘT NGƯỜI GÁNH NƯỚC DƯỚI KHE SUỐI LÊN	VIVOSSPK01_T033	VIVOSSPK01_R063
SÀNG SẢY THÓC NGAY NGÕ GẠCH	VIVOSSPK01_R141	VIVOSSPK01_R064
NGAY CẢ NỀN SẢN XUẤT HIỆN ĐẠI NHƯ MỸ	VIVOSSPK01_R156	VIVOSSPK01_R065
VỀ HÀNH VI TRUYỀN BÁ VĂN HÓA PHẨM ĐỒI TRỤY KHÔNG NGUỒN GỐC	VIVOSSPK01_R077	VIVOSSPK01_R066
CÓ THỂ ĐÂY LÀ CÁI CẠM BẪY PHÁ HOẠI CỦA BỌN PHẢN ĐỘNG	VIVOSSPK01_R169	VIVOSSPK01_R067
NẾU TẬP TRUNG TẠI TRUNG TÂM HUẤN LUYỆN THỂ THAO QUỐC GIA I NHỔN	VIVOSSPK01_T012	VIVOSSPK01_R068
CHIẾN KHU RỪNG SÁC LÀ MỘT VÙNG ĐẦM LẦY NƯỚC MẶN	VIVOSSPK01_R053	VIVOSSPK01_R069
KHIẾN CHIẾC THUYỀN TRÒNG TRÀNH RỒI LẬT NHÀO	VIVOSSPK01_T025	VIVOSSPK01_R070
CÓ THỂ CHO ÍT NƯỚC MUỐI VÀO LÒNG BÀN TAY	VIVOSSPK01_R128	VIVOSSPK01_R071
TÔI TÌNH CỜ PHÁT HIỆN KHẢ NĂNG HÚT THÌA MUỖNG	VIVOSSPK01_R075	VIVOSSPK01_R072
KHI CẢ HAI VỪA CHIẾN THẮNG NGOẠN MỤC	VIVOSSPK01_R060	VIVOSSPK01_R073
TÔI ĐÃ TRẢI QUA GIÂY PHÚT NHIỄM SÉT NHƯ THẾ	VIVOSSPK01_R002	VIVOSSPK01_R074
ĐÃ ĐẠT GẦN ĐẾN CHUẨN QUỐC TẾ	VIVOSSPK01_R060	VIVOSSPK01_R075
